Vs0,Vus0,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B
-51.31578947368421,-53.31578947368421,bursting,bursting,103,105,7.357142857142857,8.076923076923077,0.4863538767204218,0.48535310464996445,1.3801523310540336,1.332858589795285,19.592555798659546,19.569337655053822
-51.31578947368421,-52.78947368421053,bursting,bursting,107,104,8.23076923076923,8.666666666666666,0.48351955254110046,0.477398507827657,1.341981188602875,1.3241011305478387,19.901835936906064,20.028505680602105
-51.31578947368421,-52.26315789473684,bursting,bursting,107,110,8.23076923076923,8.461538461538462,0.4750751783699265,0.47746593657669195,1.431784127243996,1.4187952032304167,20.056546348449423,19.948019152567543
-51.31578947368421,-51.73684210526316,bursting,bursting,112,110,8.0,8.461538461538462,0.48220692785560576,0.4916863057878315,1.4343973572480369,1.4257905362535845,20.834947459057474,20.500330531856772
-51.31578947368421,-51.21052631578947,bursting,bursting,114,115,8.142857142857142,8.214285714285714,0.4993248388338189,0.5053732438040879,1.4469749370023766,1.4681685443821044,20.537430016969896,20.41128032662076
-51.31578947368421,-50.68421052631579,bursting,bursting,115,118,7.1875,7.375,0.49820465759711163,0.5008790701564759,1.6689420467491682,1.7491047228844192,20.52241307336642,20.4234516429262
-51.31578947368421,-50.1578947368421,bursting,bursting,118,122,7.866666666666666,9.384615384615385,0.5274399726195381,0.5435544745653391,1.5506655781296008,1.418510954167301,20.439919812840376,20.18130676943925
-51.31578947368421,-49.631578947368425,bursting,bursting,120,124,8.571428571428571,8.857142857142858,0.5448544758325528,0.5484699138975311,1.4685634509731393,1.4707991692663684,20.56853213343299,20.480953622764183
-51.31578947368421,-49.10526315789474,bursting,bursting,126,124,7.875,8.266666666666667,0.5441492624745305,0.5521775897477936,1.7527376588047774,1.6735276021780634,20.49026674296578,20.183909457818707
-51.31578947368421,-48.578947368421055,bursting,bursting,127,129,9.071428571428571,8.0625,0.5925340193122087,0.5652643932921236,1.5869526784483234,1.803545396002135,20.107295502810405,20.446546371611173
-51.31578947368421,-48.05263157894737,bursting,bursting,132,129,8.8,9.923076923076923,0.5981017460041371,0.6088460846952556,1.6706122504497192,1.5147026081151687,19.88971378295895,19.716940763874646
-51.31578947368421,-47.526315789473685,bursting,bursting,134,133,8.375,10.23076923076923,0.5992619229954718,0.6232815484969617,1.676952333221808,1.4782160131184494,20.44224433646373,20.085739637457944
-51.31578947368421,-47.0,bursting,bursting,138,136,9.2,8.5,0.6246342101019289,0.6095938942683611,1.6317754808556535,1.7246186244475068,20.26103078801059,20.444056652750273
-50.78947368421053,-57.0,bursting,bursting,77,74,5.923076923076923,5.6923076923076925,0.277906291817903,0.2846199157805867,1.5020593421738397,1.4092116464418323,23.171148847883345,22.989416479191103
-50.78947368421053,-56.473684210526315,bursting,bursting,79,77,7.181818181818182,7.0,0.31265328886151156,0.31541665087563164,1.1446728650353353,1.0659841856991614,23.136889561408495,22.94761050691697
-50.78947368421053,-55.94736842105263,bursting,bursting,82,82,6.833333333333333,6.833333333333333,0.3222260197063693,0.3137820454647389,1.2782988381435467,1.3925029042333137,23.03451972927734,23.068944190330463
-50.78947368421053,-55.421052631578945,bursting,bursting,87,82,6.6923076923076925,6.833333333333333,0.3136985986303625,0.31637648871005397,1.5321840602523862,1.467399516644558,23.185845911036914,23.19149060072937
-50.78947368421053,-54.89473684210526,bursting,bursting,88,87,8.8,8.7,0.3445152322187894,0.34915066760320485,0.9759612542438162,1.025462737940766,23.227820142384648,23.339057242655013
-50.78947368421053,-54.36842105263158,bursting,bursting,91,90,8.272727272727273,9.0,0.35617856613463295,0.3697795578199151,1.1489384856084692,1.0390462208121887,23.40065227052013,23.14057187953552
-50.78947368421053,-53.8421052631579,bursting,bursting,92,93,9.2,9.3,0.3631153847844234,0.3605558416912569,0.9697269790791826,1.0151562895091417,23.485820926335478,23.780934931461815
-50.78947368421053,-53.31578947368421,bursting,bursting,96,97,9.6,10.777777777777779,0.3867541104380436,0.3929099330598884,0.9731382380233996,0.9234294049182349,23.460304818709133,23.076160229869892
