Vs0,Vus0,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B
-55.19992053120248,-49.75973078435901,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-55.19992053120248,-49.23199223512259,bursting,bursting,3274,3274,7.0,7.0,0.0,0.0,88.49557522123912,88.49557522123912,343.6780968075561,343.6780968075561
-55.19992053120248,-48.79690700260742,bursting,bursting,3381,3381,7.0,7.0,0.0,0.0,92.1658986175113,92.1658986175113,327.7862128528009,327.7862128528009
-55.19992053120248,-48.616917503311555,bursting,bursting,3274,3274,7.0,7.0,0.0,0.0,88.49557522123912,88.49557522123912,343.6780968075561,343.6780968075561
-55.19992053120248,-46.129344077851364,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-55.19992053120248,-45.64278503889504,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-55.19992053120248,-40.8634324754736,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-54.79441300414499,-56.36881368020514,bursting,bursting,3353,3382,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,336.77314095737523,336.77314095737523
-54.79441300414499,-56.287302321594446,bursting,bursting,3342,3342,7.0,7.0,0.0,0.0,92.1658986175113,92.1658986175113,336.1045827273654,336.1045827273654
-54.79441300414499,-56.231618186888966,bursting,bursting,3346,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,345.09151083193984,334.62214745801015
-54.79441300414499,-55.540833630900494,bursting,bursting,3353,3382,7.0,7.0,0.0,0.0,88.49557522123912,87.7192982456143,334.7890139732485,336.77314095737523
-54.79441300414499,-54.663662191171994,bursting,bursting,3363,3382,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,336.77314095737523,336.77314095737523
-54.79441300414499,-54.227304675248156,bursting,bursting,3323,3347,7.0,7.0,0.0,0.0,87.7192982456143,92.1658986175113,334.62214745801015,336.1045827273654
-54.79441300414499,-54.1133580852,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-54.79441300414499,-53.83109446253879,bursting,bursting,3323,3364,7.0,7.0,0.0,0.0,87.7192982456143,92.1658986175113,334.62214745801015,336.1045827273654
-54.79441300414499,-52.96128429043536,bursting,bursting,3370,3381,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,336.77314095737523,336.77314095737523
-54.79441300414499,-52.80355330675777,bursting,bursting,3367,3360,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,336.97364823808306,336.97364823808306
-54.79441300414499,-52.592526779805354,bursting,bursting,3382,3362,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,336.77314095737523,336.77314095737523
-54.79441300414499,-50.09969086530679,bursting,bursting,3381,3382,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,336.77314095737523,336.77314095737523
-54.79441300414499,-49.85379041970086,bursting,bursting,3378,3379,7.0,7.0,0.0,0.0,87.7192982456143,92.1658986175113,346.09669614072436,337.10976803615006
-54.79441300414499,-49.75973078435901,bursting,bursting,3380,3366,7.0,7.0,0.0,0.0,87.7192982456143,92.1658986175113,345.65807389850323,336.6711457939288
-54.79441300414499,-49.23199223512259,bursting,bursting,3378,3382,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,336.77314095737523,336.77314095737523
-54.79441300414499,-48.79690700260742,bursting,bursting,3344,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,345.09151083193984,334.62214745801015
-54.79441300414499,-48.616917503311555,bursting,bursting,3323,3366,7.0,7.0,0.0,0.0,87.7192982456143,92.1658986175113,334.62214745801015,336.1045827273654
-54.79441300414499,-46.129344077851364,bursting,bursting,3323,3360,7.0,7.0,0.0,0.0,87.7192982456143,92.1658986175113,334.62214745801015,336.1045827273654
