Vs0,Vus0,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
-51.58121296171791,-52.80355330675777,tonic_spiking,tonic_spiking,107,109,5.5,7.5,0.6699393073902181,0.7705242836821785,1.7850767583006069,1.016053647632595,16.08593528936915,15.08569078693634,,,
-51.58121296171791,-52.592526779805354,tonic_spiking,tonic_spiking,107,113,4.0,7.0,0.47137234987939536,0.6917949896575508,2.539037704709915,1.5322148165172769,17.347639164728086,14.883190956438895,,,
-51.58121296171791,-50.09969086530679,tonic_spiking,tonic_spiking,122,127,6.0,13.5,0.27055702917771896,0.9073851953392735,4.080799836768007,0.5711674663011194,15.281853680620776,14.960289880914413,,,
-51.58121296171791,-49.85379041970086,tonic_spiking,tonic_spiking,123,129,9.0,13.5,0.5363282145312857,0.9002684640429544,2.292000916800366,0.5712000913920146,14.801151102901724,14.404546895509974,,,
-51.58121296171791,-49.75973078435901,tonic_spiking,tonic_spiking,125,128,5.0,12.5,0.5661871453081699,0.7415811155430589,2.6395671109937977,1.307787876806382,17.350607272534905,15.085783597941992,,,
-51.58121296171791,-49.23199223512259,tonic_spiking,tonic_spiking,127,133,15.0,10.5,0.9055021590750801,0.8534348257765588,0.5571806658308958,0.9455817691834901,14.075347872391124,14.857994329431147,,,
-51.58121296171791,-48.79690700260742,tonic_spiking,tonic_spiking,130,134,28.5,9.5,0.8757740728138823,0.7858070724079866,0.6805035726437562,0.9622323791195574,14.448704625942137,15.907493584858187,,,
-51.58121296171791,-48.616917503311555,tonic_spiking,tonic_spiking,131,136,14.5,8.5,0.7241462049108206,0.7028433376695791,1.5996160921378877,1.858390633711206,14.837609096081211,15.695293457149138,,,
-51.58121296171791,-46.129344077851364,tonic_spiking,tonic_spiking,145,149,36.0,10.0,,0.6076942546190833,,2.5310048089091355,15.195086529552276,16.876986078456106,,,
-51.58121296171791,-45.64278503889504,tonic_spiking,tonic_spiking,146,152,,,,,,,,,,,
-51.58121296171791,-40.8634324754736,tonic_spiking,tonic_spiking,172,178,,,,,,,,,,,
-50.24962955493127,-56.36881368020514,bursting,bursting,69,71,10.0,10.0,0.2366998674235989,0.23302115617841263,0.6798789815412857,0.6737636437137852,26.088707721061578,26.19667730592779,,,
-50.24962955493127,-56.287302321594446,bursting,bursting,69,72,10.0,10.0,0.23155505107832008,0.23771475600973935,0.6676904587033451,0.6858475360927265,26.23448498063217,26.113259981529016,,,
-50.24962955493127,-56.231618186888966,bursting,bursting,68,73,10.0,10.0,0.2344832223791272,0.22854298041818782,0.672449734382355,0.6637902422834383,26.151666978991436,26.340787827070486,,,
-50.24962955493127,-55.540833630900494,bursting,bursting,74,75,11.0,11.0,0.26319650538530787,0.2536959417747022,0.6669112007736168,0.6498359164311012,25.737574387354176,25.95719517388456,,,
-50.24962955493127,-54.663662191171994,bursting,bursting,78,80,11.0,11.0,0.2642413793103446,0.2619558918771518,0.689655172413793,0.6817329651975319,26.33517677386438,26.301564588331882,,,
-50.24962955493127,-54.227304675248156,bursting,bursting,82,77,12.5,11.5,0.30181594535979,0.26900139155788205,0.6473958501926002,0.6626466105625869,26.014608043757743,25.683635655093205,,,
-50.24962955493127,-54.1133580852,bursting,bursting,82,80,12.0,12.0,0.2857429115319106,0.2818900764369149,0.6679357445813713,0.6617914695079581,26.034042370460373,26.070978137792437,,,
-50.24962955493127,-53.83109446253879,bursting,bursting,82,84,12.0,12.0,0.2873707408035259,0.2831708209923794,0.6780810306831665,0.6655795533961194,26.189316961351718,26.179164543139564,[-52.00124  -52.00246  -52.00366  ... -55.641373 -55.641315 -55.64126 ],[-52.00124  -52.00246  -52.00366  ... -63.740505 -63.678703 -63.617207],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
-50.24962955493127,-52.96128429043536,bursting,bursting,89,84,13.0,13.0,0.3071468435048094,0.3123238964175499,0.6565772627293917,0.6708707902857909,26.074376410153047,25.845403506827836,,,
-50.24962955493127,-52.80355330675777,bursting,bursting,89,85,13.0,13.0,0.30473090705855277,0.30461100820322834,0.6575270407995529,0.6615506747816885,26.225128393694977,26.260132451033467,,,
-50.24962955493127,-52.592526779805354,bursting,bursting,89,86,13.0,13.0,0.3019376912195282,0.297910990009083,0.6579596670724085,0.648760866744518,26.42771088206049,26.441479322338267,,,
-50.24962955493127,-50.09969086530679,bursting,bursting,97,102,16.0,16.0,0.35343424729036793,0.3515524919172821,0.6140808744511651,0.6100164704447019,26.40119410776759,26.36340695657983,,,
-50.24962955493127,-49.85379041970086,bursting,bursting,100,102,16.0,16.0,0.3553961727517236,0.3584369673631715,0.6182953596933255,0.6312732782021336,26.455368146743698,26.487991986159713,,,
-50.24962955493127,-49.75973078435901,bursting,bursting,101,102,16.0,16.0,0.35613018553904946,0.3551053636847544,0.616408802317697,0.6262328960140277,26.447303049645107,26.558536278055623,,,
-50.24962955493127,-49.23199223512259,bursting,bursting,100,108,17.0,17.0,0.36205195659322587,0.35746935685794967,0.5978894502406504,0.5822924855154742,26.64259320792448,26.535245507801246,,,
-50.24962955493127,-48.79690700260742,bursting,bursting,105,108,18.0,18.0,0.3714777796600599,0.3718501184326932,0.5646846236376981,0.5707599668959218,26.447428329422422,26.452793523298055,,,
-50.24962955493127,-48.616917503311555,bursting,bursting,106,109,18.0,18.0,0.3754442279032442,0.38206202362250535,0.57319729450877,0.5818351079304125,26.481631238311333,26.295493486153394,,,
-50.24962955493127,-46.129344077851364,bursting,bursting,110,121,22.0,22.0,0.4103843455211665,0.40477093926285695,0.5197370130713861,0.5059320533252385,26.821625280875214,26.717839430677653,,,
-50.24962955493127,-45.64278503889504,bursting,bursting,113,125,23.0,23.0,0.4211015395434112,0.4161392794700681,0.5022980134113569,0.49250166219310987,26.715358782592705,26.624918830145745,,,
-50.24962955493127,-40.8634324754736,quiescent,quiescent,0,0,,,,,,,,,,,
-50.08400578752144,-56.36881368020514,bursting,bursting,63,63,11.0,11.0,0.2130439722758777,0.20817708624839093,0.5681172594023406,0.5596910505401019,26.91159396136883,27.047535526796743,,,
-50.08400578752144,-56.287302321594446,bursting,bursting,64,62,11.0,11.0,0.21255118289353953,0.20612058717828252,0.5686988171064605,0.5528985707571946,26.980415016855535,27.08756783103225,,,
-50.08400578752144,-56.231618186888966,bursting,bursting,59,64,10.5,11.5,0.1921734653012186,0.22814646576556608,0.5721151095600433,0.5539552404165744,27.074432615477168,26.97311709887659,,,
-50.08400578752144,-55.540833630900494,bursting,bursting,68,66,12.0,12.0,0.23167237014161307,0.23200359086573524,0.5564365801407783,0.5610727711384166,26.770027652555395,26.792930208631024,,,
