g_s,tau_s,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
0.4380684108120857,5.343357938671881,bursting,bursting,90,94,18.0,18.0,0.39657678428227755,0.39165515199368317,0.5012028869286287,0.4934859849980261,21.79887487570365,21.786732203982154,,,
0.43829309954198914,3.5339400025595102,bursting,bursting,87,92,11.0,11.0,0.25135093407441716,0.2540977084659453,0.7719623282383817,0.7956715467854871,31.224790098016797,31.397860751770175,,,
0.43829309954198914,3.5705731851886764,bursting,bursting,87,92,11.0,11.0,0.26024687450545964,0.25186109054059336,0.7912644405760404,0.7795143625521301,30.833732769940486,31.179640479760508,,,
0.43829309954198914,3.8804511538385014,bursting,bursting,94,88,12.0,12.0,0.28427515717489615,0.2865580746936678,0.7353211515129233,0.7337295472888694,28.78457794846944,28.593661184256064,[-52.       -52.       -52.       ... -78.60161  -78.455574 -78.31032 ],[-52.       -52.       -52.       ... -54.94439  -54.944263 -54.944134],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
0.43829309954198914,3.9825988112977626,bursting,bursting,91,89,12.0,12.0,0.2868496578114652,0.2810008542141231,0.7358893222459341,0.7118451025056947,28.402084775344903,28.3241007706519,,,
0.43829309954198914,4.017990874528758,bursting,bursting,90,89,12.0,12.0,0.28501405608015556,0.2876349036796935,0.720824623369134,0.7366753839920439,28.187284422459935,28.2400842214024,,,
0.43829309954198914,4.063196699330868,bursting,bursting,90,90,12.0,12.0,0.29115316901408456,0.28925619834710753,0.7335680751173709,0.7249528780629262,27.95190812358968,27.889665820702294,,,
0.43829309954198914,4.095442762782422,bursting,bursting,86,93,12.0,12.0,0.2890095474090809,0.2893122845218657,0.7288098535092193,0.7258210851025221,27.913137454496113,27.809636642037688,,,
0.43829309954198914,4.158352993012739,bursting,bursting,88,94,13.0,13.0,0.3105239618811711,0.30646820769600097,0.6880655038359654,0.6859181013786956,26.94713999574739,27.06471293365478,,,
0.43829309954198914,4.229732875369103,bursting,bursting,90,91,13.0,13.0,0.30275290882875633,0.30292725211709026,0.6706233443986186,0.666800026672001,26.907516195480635,26.818654429543077,,,
0.43829309954198914,4.316233184174,bursting,bursting,90,91,13.0,13.0,0.3224043715846994,0.3047981469225675,0.7005744710662744,0.6618133686300463,26.26756582630939,26.485655452340367,,,
0.43829309954198914,4.359310269546686,bursting,bursting,92,89,13.0,13.0,0.3074265396484637,0.31206037014273036,0.6708707902857909,0.6829201666325208,26.40902958047549,26.378268139345476,,,
0.43829309954198914,4.588149802396627,bursting,bursting,94,89,14.0,14.0,0.33635753761620285,0.3366521068859203,0.638916397789349,0.6423432682425488,25.016167932085978,24.987300900321767,,,
0.43829309954198914,4.6747325124188706,bursting,bursting,89,92,14.5,14.5,0.3682756021731621,0.32742459396751744,0.6280815249819428,0.6187161639597831,24.46063009231323,24.524669766401022,,,
0.43829309954198914,4.709933922396952,bursting,bursting,87,94,14.5,15.0,0.3221912157243388,0.34703822585351607,0.6066488716330989,0.583600817041144,24.581748430492976,24.258794281790617,,,
0.43829309954198914,4.82922406657648,bursting,bursting,89,95,15.0,15.0,0.34665188987400847,0.34570547643517807,0.5832944470368643,0.5872852738217589,23.983982520308867,24.030464379521767,,,
0.43829309954198914,4.831263854274557,bursting,bursting,95,89,15.0,15.0,0.34462863167760077,0.3427946961969984,0.5857544517338331,0.582835494681626,24.084369612006064,24.05513411551084,,,
0.43829309954198914,4.83537928093241,bursting,bursting,87,95,15.0,15.0,0.3395691773890415,0.35161959758188227,0.5782853838369234,0.6015218502812115,24.133571463211638,24.020081357658118,,,
0.43829309954198914,4.954625174264129,bursting,bursting,93,90,16.0,16.0,0.35973459926154183,0.36414157006932557,0.5552316704144804,0.5613404810687924,23.422249988586852,23.316200061353662,,,
0.43829309954198914,5.019665555064,bursting,bursting,93,91,16.0,16.0,0.36628459603019276,0.3700811816439281,0.5591277606933186,0.5637614161686776,23.17352916789809,23.044171719813455,,,
0.43829309954198914,5.343357938671881,bursting,bursting,89,95,18.0,18.0,0.3959180599487876,0.3978101269016323,0.5020836471356127,0.50457905492343,21.825010643005584,21.769327740951752,,,
0.44603995493713916,3.5339400025595102,bursting,bursting,87,89,11.0,11.0,0.24639094810768622,0.2479877347642776,0.780335544284042,0.7665772326561902,31.77220650556846,31.412400401123058,,,
0.44603995493713916,3.5705731851886764,bursting,bursting,88,88,11.0,11.0,0.24871288661789176,0.24509803921568626,0.7742035381101687,0.7570595805889924,31.407381814365277,31.318220982710397,,,
0.44603995493713916,3.8804511538385014,bursting,bursting,87,89,12.0,12.0,0.2730053622197432,0.2752716022735448,0.7197610393349408,0.7194762213108855,29.21394227385086,29.059109990247478,,,
