tau_i,Vi_threshold,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
44.17062526144672,-18.73742354832292,bursting,bursting,81,83,15.5,15.5,0.2612619561863621,0.2659953685634742,0.5142445747197366,0.5203861265058674,27.570597910561403,27.409789071983656,,,
44.17062526144672,-18.64217287385621,bursting,bursting,83,80,16.0,15.5,0.2785921571545503,0.2842175201880813,0.49606865590197674,0.5110906674844118,27.285034013816286,27.529121446875138,,,
44.17062526144672,-18.513491657593114,bursting,bursting,83,78,16.0,15.5,0.2825738900607387,0.26119288168624055,0.508272128897812,0.5128468126570592,27.272016191628666,27.523337251843603,,,
44.17062526144672,-18.25714244410362,bursting,bursting,84,76,15.0,16.0,0.2545684676845185,0.2757039947609692,0.5273844368852674,0.5037529595486373,27.230610477798827,27.4858950842606,,,
44.17062526144672,-18.063443290817037,bursting,bursting,80,82,15.5,15.5,0.28997961342933076,0.2625907646192411,0.5161157131428866,0.5168092198764824,27.434873273145673,27.52229296800047,,,
44.17062526144672,-17.01011737753121,bursting,bursting,82,81,16.0,15.5,0.2839190250576401,0.2625719967972724,0.5067267982467254,0.5165689490404732,27.20573558119485,27.49843095254717,,,
44.21787801655311,-22.914311639711332,bursting,bursting,75,83,16.0,16.0,0.2717190388170054,0.273580921624643,0.4929143561306224,0.49683269159110677,27.528194516918024,27.480802300943378,,,
44.21787801655311,-21.731662231386487,bursting,bursting,83,76,16.0,16.0,0.2738850346878096,0.276713622021813,0.4955401387512389,0.4968820650418623,27.480107486273756,27.35441987510792,,,
44.21787801655311,-21.331019414577387,bursting,bursting,83,76,16.0,16.0,0.27480175992443245,0.2758159576048733,0.49715379452633673,0.4952701698776683,27.45965200948927,27.36258266729183,[-52.       -52.       -52.       ... -55.692993 -55.692966 -55.69294 ],[-52.       -52.       -52.       ... -61.9251   -61.870445 -61.816055],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
44.21787801655311,-21.277755696486683,bursting,bursting,83,76,16.0,16.0,0.27355059015663263,0.27589110995516564,0.49489025808526965,0.49540511753486405,27.479406911802695,27.35933491577646,,,
44.21787801655311,-20.94074530858559,bursting,bursting,83,77,16.0,16.0,0.279726628502257,0.28326625661275223,0.5043754570902581,0.5062394006125497,27.347247381790236,27.19239709073725,,,
44.21787801655311,-20.639342432714603,bursting,bursting,77,82,16.0,16.0,0.27847974328118735,0.27419872982924326,0.501403931006819,0.4942298663108212,27.371803349280242,27.405784844758617,,,
44.21787801655311,-20.55028450245337,bursting,bursting,76,83,16.0,16.0,0.2780044556809934,0.2793967088670812,0.5006383138501589,0.4994131895023348,27.381323023530793,27.26764674668101,,,
